step,train_loss,val_loss,perplexity,val_perplexity,tokens_per_sec,step_time_ms,train_time_ms,total_tokens,elapsed_time,train_time_total,lr,grad_norm,mode,model_size,batch_size,grad_accum,effective_batch,num_params,world_size
181,10.8297,,50496.70,,2897436,180.9,180.9,94896128,65.5,65.5,5.65e-04,0.0399,bf16,125M,32,2,512,143248128,8
182,10.8292,,50473.06,,2908388,180.3,180.3,95420416,65.7,65.7,5.64e-04,0.0399,bf16,125M,32,2,512,143248128,8
183,10.8290,,50465.22,,2908811,180.2,180.2,95944704,65.9,65.9,5.64e-04,0.0396,bf16,125M,32,2,512,143248128,8
184,10.8292,,50473.11,,2881845,181.9,181.9,96468992,66.0,66.0,5.64e-04,0.0394,bf16,125M,32,2,512,143248128,8
185,10.8294,,50483.84,,2907081,180.3,180.3,96993280,66.2,66.2,5.63e-04,0.0399,bf16,125M,32,2,512,143248128,8
186,10.8299,,50508.02,,2881048,182.0,182.0,97517568,66.4,66.4,5.63e-04,0.0399,bf16,125M,32,2,512,143248128,8
187,10.8300,,50515.10,,2890242,181.4,181.4,98041856,66.6,66.6,5.62e-04,0.0399,bf16,125M,32,2,512,143248128,8
188,10.8302,,50526.23,,2857266,183.5,183.5,98566144,66.8,66.8,5.62e-04,0.0404,bf16,125M,32,2,512,143248128,8
189,10.8302,,50525.27,,2907872,180.3,180.3,99090432,67.0,66.9,5.61e-04,0.0401,bf16,125M,32,2,512,143248128,8
190,10.8301,,50519.87,,2881358,182.0,182.0,99614720,67.1,67.1,5.61e-04,0.0399,bf16,125M,32,2,512,143248128,8
191,10.8298,,50501.23,,2878789,182.1,182.1,100139008,67.3,67.3,5.60e-04,0.0399,bf16,125M,32,2,512,143248128,8
192,10.8296,,50491.64,,2900543,180.8,180.8,100663296,67.5,67.5,5.60e-04,0.0399,bf16,125M,32,2,512,143248128,8
193,10.8296,,50493.19,,2897130,181.0,181.0,101187584,67.7,67.7,5.60e-04,0.0396,bf16,125M,32,2,512,143248128,8
