step,train_loss,val_loss,perplexity,val_perplexity,tokens_per_sec,step_time_ms,train_time_ms,total_tokens,elapsed_time,train_time_total,lr,grad_norm,mode,model_size,batch_size,num_params
148,7.6285,,2055.93,,4552,7198.5,7198.5,4849664,1060.1,1060.0,4.44e-04,1.3535,bf16,1.5B,32,1564837888
149,7.5248,,1853.43,,4559,7186.8,7186.8,4882432,1067.3,1067.2,4.47e-04,0.9884,bf16,1.5B,32,1564837888
150,7.5074,,1821.50,,4571,7168.5,7168.5,4915200,1074.4,1074.4,4.50e-04,1.1150,bf16,1.5B,32,1564837888
151,7.5960,,1990.29,,4573,7165.9,7165.9,4947968,1081.6,1081.6,4.53e-04,0.9634,bf16,1.5B,32,1564837888
152,7.6307,,2060.59,,4591,7138.2,7138.2,4980736,1088.8,1088.7,4.56e-04,1.0299,bf16,1.5B,32,1564837888
153,7.5801,,1958.82,,4589,7141.3,7141.3,5013504,1095.9,1095.8,4.59e-04,0.7338,bf16,1.5B,32,1564837888
154,7.5811,,1960.70,,4555,7193.9,7193.9,5046272,1103.1,1103.0,4.62e-04,0.8604,bf16,1.5B,32,1564837888
155,7.4814,,1774.66,,4548,7204.3,7204.3,5079040,1110.3,1110.2,4.65e-04,1.0603,bf16,1.5B,32,1564837888
156,7.6765,,2157.08,,4573,7165.7,7165.7,5111808,1117.5,1117.4,4.68e-04,1.1212,bf16,1.5B,32,1564837888
157,7.5320,,1866.75,,4580,7154.4,7154.4,5144576,1124.6,1124.6,4.71e-04,1.0815,bf16,1.5B,32,1564837888
158,7.5683,,1935.90,,4583,7150.3,7150.3,5177344,1131.8,1131.7,4.74e-04,0.9729,bf16,1.5B,32,1564837888
159,7.4483,,1717.00,,4592,7135.8,7135.8,5210112,1138.9,1138.8,4.77e-04,1.2381,bf16,1.5B,32,1564837888
160,7.6196,,2037.67,,4592,7135.5,7135.5,5242880,1146.0,1146.0,4.80e-04,0.7340,bf16,1.5B,32,1564837888
161,7.5682,,1935.74,,4606,7114.1,7114.1,5275648,1153.1,1153.1,4.83e-04,0.8748,bf16,1.5B,32,1564837888
162,7.5747,,1948.19,,4587,7144.3,7144.3,5308416,1160.3,1160.2,4.86e-04,0.8046,bf16,1.5B,32,1564837888
